DateStart;DateTimeStart;SUM_of_IsDP
01JUN2026;01JUN2026:02:53:19.845000;1
01JUN2026;01JUN2026:02:55:15.039000;1
01JUN2026;01JUN2026:02:59:30.544000;1
01JUN2026;01JUN2026:03:00:17.479000;1
01JUN2026;01JUN2026:03:02:40.469000;1
01JUN2026;01JUN2026:03:03:06.933000;1
01JUN2026;01JUN2026:03:04:04.025000;1
01JUN2026;01JUN2026:03:05:02.644000;1
01JUN2026;01JUN2026:03:06:41.385000;1
01JUN2026;01JUN2026:03:06:57.656000;1
01JUN2026;01JUN2026:03:07:49.715000;1
01JUN2026;01JUN2026:03:10:02.119000;1
01JUN2026;01JUN2026:03:10:05.601000;1
01JUN2026;01JUN2026:03:13:30.596000;1
01JUN2026;01JUN2026:03:24:33.363000;1
01JUN2026;01JUN2026:03:26:50.013000;1
01JUN2026;01JUN2026:03:27:20.756000;1
01JUN2026;01JUN2026:03:30:27.944000;1
01JUN2026;01JUN2026:03:32:51.180000;1
01JUN2026;01JUN2026:03:39:53.172000;1
01JUN2026;01JUN2026:03:40:35.145000;1
01JUN2026;01JUN2026:03:41:08.993000;1
01JUN2026;01JUN2026:03:51:00.347000;1
01JUN2026;01JUN2026:03:53:42.282000;1
01JUN2026;01JUN2026:03:54:05.585000;1
01JUN2026;01JUN2026:03:54:42.680000;1
01JUN2026;01JUN2026:03:55:28.561000;1
01JUN2026;01JUN2026:03:56:50.213000;1
01JUN2026;01JUN2026:04:01:03.691000;1
01JUN2026;01JUN2026:04:01:14.327000;1
01JUN2026;01JUN2026:04:04:23.326000;1
01JUN2026;01JUN2026:04:05:40.529000;1
01JUN2026;01JUN2026:04:06:47.324000;1
01JUN2026;01JUN2026:04:07:16.398000;1
01JUN2026;01JUN2026:04:07:26.373000;1
01JUN2026;01JUN2026:04:10:53.732000;1
01JUN2026;01JUN2026:04:12:24.316000;1
01JUN2026;01JUN2026:04:15:18.125000;1
01JUN2026;01JUN2026:04:16:05.049000;1
01JUN2026;01JUN2026:04:16:46.501000;1
01JUN2026;01JUN2026:04:19:17.817000;1
01JUN2026;01JUN2026:04:20:29.720000;1
01JUN2026;01JUN2026:04:23:10.974000;1
01JUN2026;01JUN2026:04:26:37.995000;1
01JUN2026;01JUN2026:04:27:13.104000;1
01JUN2026;01JUN2026:04:29:23.757000;1
01JUN2026;01JUN2026:04:30:32.575000;1
01JUN2026;01JUN2026:04:30:41.227000;1
01JUN2026;01JUN2026:04:32:46.125000;1
01JUN2026;01JUN2026:04:38:11.792000;1
01JUN2026;01JUN2026:04:40:02.663000;1
01JUN2026;01JUN2026:04:41:16.934000;1
01JUN2026;01JUN2026:04:43:59.267000;1
01JUN2026;01JUN2026:04:45:29.812000;1
01JUN2026;01JUN2026:04:46:32.721000;1
01JUN2026;01JUN2026:04:51:39.983000;1
01JUN2026;01JUN2026:04:54:56.673000;1
01JUN2026;01JUN2026:04:59:32.119000;1
01JUN2026;01JUN2026:04:59:41.851000;1
01JUN2026;01JUN2026:05:01:27.199000;1
01JUN2026;01JUN2026:05:05:28.072000;1
01JUN2026;01JUN2026:05:09:14.072000;1
01JUN2026;01JUN2026:05:09:48.734000;1
01JUN2026;01JUN2026:05:10:03.057000;1
